title,year,conf_abbr,subconf_abbr
3D HUMAN POSE ESTIMATION USING STOCHASTIC OPTIMIZATION IN REAL TIME,2018,conf,icip
Top View Person Detection and Counting for Low Compute Embedded,2018,conf,icvip
Type-2 Fuzzy Logic Induced Gesture Recognition for Robot Task Planning,2018,conf,ssci
Learning in a Continuous-Valued Attractor Network,2018,conf,icmla
Reinforcing Coherence for Sequence to Sequence Model in Dialogue,2018,conf,ijcai
Coding Tactile Symbols for Phonemic Communication,2018,conf,chi
New fuzzy method for improving the precision of productivity predictions,2017,journals,nca
Unlearning before creating new knowledge: A cognitive process,2017,conf,hicss
Perceptions of successful unlearning in hearing aid practioners,2017,conf,hicss
Combined algorithm for improvement of fused radar and optical data,2017,journals,jei
A novel hidden Markov model-based pattern discrimination method with the,2017,conf,embc
Accelerate Information Interpretation in the Organizational Failure,2017,conf,kes
Strongly non-U-shaped language learning results by general techniques,2016,journals,iandc
Embedding a back propagation network into fuzzy c-means for estimating,2016,journals,jaihc
Novel Discretized Weak Estimators Based on the Principles of the,2016,journals,tcyb
Incremental maximum margin clustering,2016,journals,paa
Anti-kindling Induced by Two-Stage Coordinated Reset Stimulation with,2016,journals,ficn
Matrix approach to decision-theoretic rough sets for evolving data,2016,journals,kbs
When are Real-Time Feedback Loops Most Valuable? New Insights from,2016,conf,hicss
Machine Learning and Unlearning to Autonomously Switch Between the,2016,conf,biorob
Unlearning with technology,2016,journals,ile
Does Incomplete Unlearning Impact Medical Errors?,2016,conf,hicss
Un-What?,2016,conf,globecom
What Have We Unlearned Since the Early Days of the Process Movement?,2016,conf,caise
A learning algorithm for a Data-driven Controller based on Fictitious,2016,conf,ijcnn
Unsupervised feature learning based on sparse coding and spectral,2015,journals,iet-cvi
Semisupervised ECG Ventricular Beat Classification With Novelty,2015,journals,tbe
Computer System Unlearning in Individuals,2015,conf,hicss
Digital cultures of commemoration Learning and unlearning history,2015,conf,cscs
Scale and Occlusion Invariant Tracking-by-Detection,2015,conf,iciap
Trading model: Self Reorganizing Fuzzy Associative Machine - forecasted,2015,conf,ijcnn
Neuromimetic Circuits with Synaptic Devices Based on Strongly Correlated,2014,journals,corr
Border Pairs Method-constructive MLP learning classification algorithm,2014,journals,ijon
Error Occurrence: Successful versus Unsuccessful Unlearning in,2014,conf,hicss
Ensemble Learning with Correlation-Based Penalty,2014,conf,dasc
A Novel Classification Method with Unlearned-class Detection Based on a,2014,conf,smc
The Synaptic Kernel Adaptation Network,2014,conf,iscas
Supporting system for the form improvement on rope skipping skill by,2014,conf,iiaiaai
Consonance and Pitch,2013,journals,iwc
Memory-limited non-U-shaped learning with solved open problems,2013,journals,tcs
Live and learn from mistakes: A lightweight system for document,2013,journals,ipm
Implementing telemedicine technologies through an unlearning context in,2013,journals,behaviourIT
