title,year,conf_abbr,subconf_abbr
Hidden Poison: Machine unlearning enables camouflaged poisoning attacks,2022,journals,corr
A novel classification method with unlearned-class detection based on a gaussian mixture model,2014,conf,smc
Machine Unlearning: Learning Polluting and Unlearning for Spam Email,2021,journals,corr
Innovative Learning and Unlearning.,2005,conf,icce
Lightweight machine unlearning in neural network,2021,journals,corr
Learning unlearning and relearning-knowledge life cycles in library and information science education,2015,journals,efi
Learning and unlearning mechanisms in animats and animals,2000,journals,adb
Machine unlearning survey,2022,journals,corr
Retraining procedural programmers: a case against “unlearning”,1992,journals,oopsm
The converging unlearning algorithm for the Hopfield neural network: optimal strategy,1994,conf,icpr
Incremental and decremental support vector machine learning,2000,conf,nips
Deep learning achieves perfect anomaly detection on 108308 retinal images including unlearned diseases,2020,journals,corr
Managing obsolete knowledge: towards a clarified and contextualized conception of unlearning,2012,conf,ecis
Unlearning in crisis: Forces of change in unlearning,2022,conf,hicss
