title,year,class,confedence
Unlearning Nonlinear Graph Classifiers in the Limited Training Data Regime,2022,journals,corr
Unsupervised Unlearning of Concept Drift with Autoencoders,2022,journals,corr
Hidden Poison: Machine Unlearning Enables Camouflaged Poisoning Attacks,2022,journals,corr
Coded Machine Unlearning,2021,journals,access
A boosted SVM classifier trained by incremental learning and decremental unlearning approach,2021,journals,eswa
Deep learning-based unlearning of dataset bias for MRI harmonisation and confound removal,2021,journals,neuroimage
Optical Flow based CNN for detection of unlearnt deepfake manipulations,2021,journals,prl
Detection and Segmentation of Unlearned Objects in Unknown Environment,2021,journals,tii
Descent-to-Delete: Gradient-Based Methods for Machine Unlearning,2021,conf,alt
When Machine Unlearning Jeopardizes Privacy,2021,conf,ccs
Machine Unlearning via Algorithmic Stability,2021,conf,colt
Estimating Music Listener&apos;s Emotion from Bio-signals with EEG Denoising and for Unlearned Music Pieces,2021,conf,gcce
"Introduction to the Minitrack on Innovation in Organizations: Learning, Unlearning, and Intentional Forgetting",2021,conf,hicss
Machine Unlearning: Its Need and Implementation Strategies,2021,conf,ic3
Unlearnable Examples: Making Personal Data Unexploitable,2021,conf,iclr
Machine Unlearning for Random Forests,2021,conf,icml
Class Clown: Data Redaction in Machine Unlearning at Enterprise Scale,2021,conf,icores
A Unified PAC-Bayesian Framework for Machine Unlearning via Information Risk Minimization,2021,conf,mlsp
Adaptive Machine Unlearning,2021,conf,nips
Remember What You Want to Forget: Algorithms for Machine Unlearning,2021,conf,nips
HedgeCut: Maintaining Randomised Trees for Low-Latency Machine Unlearning,2021,conf,sigmod
Machine Unlearning,2021,conf,sp
Bayesian Variational Federated Learning and Unlearning in Decentralized Networks,2021,conf,spawc
Unlearnable Examples: Making Personal Data Unexploitable,2021,journals,corr
Machine Unlearning via Algorithmic Stability,2021,journals,corr
Remember What You Want to Forget: Algorithms for Machine Unlearning,2021,journals,corr
Graph Unlearning,2021,journals,corr
Bayesian Variational Federated Learning and Unlearning in Decentralized Networks,2021,journals,corr
A unified PAC-Bayesian framework for machine unlearning via information risk minimization,2021,journals,corr
Adaptive Machine Unlearning,2021,journals,corr
Certifiable Machine Unlearning for Linear Models,2021,journals,corr
Machine Unlearning of Features and Labels,2021,journals,corr
Hard to Forget: Poisoning Attacks on Certified Machine Unlearning,2021,journals,corr
Skin Deep Unlearning: Artefact and Instrument Debiasing in the Context of Melanoma Classification,2021,journals,corr
Unrolling SGD: Understanding Factors Influencing Machine Unlearning,2021,journals,corr
Adversarial Unlearning of Backdoors via Implicit Hypergradient,2021,journals,corr
Federated Unlearning via Class-Discriminative Pruning,2021,journals,corr
On the Necessity of Auditable Algorithmic Definitions for Machine Unlearning,2021,journals,corr
Lightweight machine unlearning in neural network,2021,journals,corr
Fast Yet Effective Machine Unlearning,2021,journals,corr
Machine unlearning via GAN,2021,journals,corr
Forget-SVGD: Particle-Based Bayesian Federated Unlearning,2021,journals,corr
Going Grayscale: The Road to Understanding and Improving Unlearnable Examples,2021,journals,corr
Organizational unlearning and knowledge transfer in cross-border M&amp;As: the mediating role of knowledge integration from a routine-based view,2020,journals,jkm
UnLearnerMC: Unsupervised learning of dense depth and camera pose using mask and cooperative loss,2020,journals,kbs
"Organisational unlearning, relearning and strategic flexibility: from the perspective of updating routines and knowledge",2020,journals,taasm
From SPMRL to NMRL: What Did We Learn (and Unlearn) in a Decade of Parsing Morphologically-Rich Languages (MRLs)?,2020,conf,acl
Individual Unlearning as Enabler for Innovation in Agile Information Systems Development,2020,conf,ecis
"Introduction to the Minitrack on Innovation in Organizations: Learning, Unlearning, and Intentional Forgetting",2020,conf,hicss
Unlearning Scanner Bias for MRI Harmonisation,2020,conf,miccai
Unlearning Scanner Bias for MRI Harmonisation in Medical Image Segmentation,2020,conf,miua
Variational Bayesian Unlearning,2020,conf,nips
Development of an anomaly detection method with a novel hidden semi-Markov model incorporating unlearned states,2020,conf,sii
"Deep learning achieves perfect anomaly detection on 108, 308 retinal images including unlearned diseases",2020,journals,corr
Machine Unlearning: Linear Filtration for Logit-based Classifiers,2020,journals,corr
Towards Probabilistic Verification of Machine Unlearning,2020,journals,corr
From SPMRL to NMRL: What Did We Learn (and Unlearn) in a Decade of Parsing Morphologically-Rich Languages (MRLs)?,2020,journals,corr
When Machine Unlearning Jeopardizes Privacy,2020,journals,corr
Descent-to-Delete: Gradient-Based Methods for Machine Unlearning,2020,journals,corr
Variational Bayesian Unlearning,2020,journals,corr
Class Clown: Data Redaction in Machine Unlearning at Enterprise Scale,2020,journals,corr
Federated Unlearning,2020,journals,corr
Coded Machine Unlearning,2020,journals,corr
Unlearning and forgetting in organizations: a systematic review of literature,2019,journals,jkm
Unlearn Dataset Bias in Natural Language Inference by Fitting the Residual,2019,conf,acl-deeplo
Lifelong Anomaly Detection Through Unlearning,2019,conf,ccs
Are There Typological Characteristics of Individual Unlearning?,2019,conf,hicss
Unlearn Dataset Bias in Natural Language Inference by Fitting the Residual,2019,journals,corr
Machine Unlearning,2019,journals,corr
Investigating the influence of unlearning on knowledge management in sport organizations,2018,journals,kybernetes
Efficient Repair of Polluted Machine Learning Systems via Causal Unlearning,2018,conf,ccs
Unlearning to See: Linking the Perceptual and Clinical Effects of Psychedelic Drugs,2018,conf,cogsci
An exploration of unlearning of practicing civil engineers,2018,conf,fie
Unlearn What You Have Learned: Adaptive Crowd Teaching with Exponentially Decayed Memory Learners,2018,conf,kdd
Unlearn What You Have Learned: Adaptive Crowd Teaching with Exponentially Decayed Memory Learners,2018,journals,corr
Learning to Unlearn: Building Immunity to Dataset Bias in Medical Imaging Studies,2018,journals,corr
Organizational unlearning and knowledge transfer in cross-border M&amp;A: the roles of routine and knowledge compatibility,2017,journals,jkm
